"#","Page","Route","Status","Notes"
"0","Kingdoms","/","",""
"1.1","KA§§A Board","/kassa","market",""
"1.2","Missions","/missions","USER","missions become the display/interface for team missions and loyalty program?"
"1.3","Forums","/forums","market?",""
"1.4","Console","/console","tools",""
"1.5","3D World","/3d","Becomes 0 landing page","we will change the building names Buildings will be featured or hot traffic areas (console/kassa:products/Kassa:iso or bounty or both/Seeds/missions/ and possible design.. the right column  will be a kind of mini guide quick/start... its footer will be a login"
"1.6","Leaderboard","/leaderboard","move to building","move to building"
"1.7","Open Roles","/openroles","market",""
"1.8","Dashboard","/dashboard","USER","remove pop up? ***the header cuts off the top of the page"
"1.9","Contact","/contact","move 0.2",""
"1.10","Seed Feed","/seeds","?",""
"1.11","COMMAND","/command","tools or context?",""
"1.12","Deploy","/deploy","tools",""
"1.13","Campaign","/campaign","tools",""
"1.14","About","/civitas","move to 0.1 or 1.1","update tiers"
"1.15","Mission Detail","/mission","tool or market ?","dynamic: /mission/:id... is the purpose of this to log missions or to launch and ask for help ***the header cuts off the top of the page"
"1.16","Slots","/slots","tool","***the header cuts off the top of the page"
"1.17","Welcome","/welcome","404?","404?"
"2.1","Senate Overview","/senate","",""
"2.2","Governance","/governance","","14-seat Genesis Council + meeting engine"
"2.3","Economics","/economics","","fee tiers, rewards"
"2.4","Treasury","/treasury","",""
"2.5","Vault","/vault","",""
"2.5.1","GOV-001 Standing Rules","/vault/gov-001","",""
"2.5.2","GOV-002 Constitutional Bylaws","/vault/gov-002","",""
"2.5.3","GOV-003 Code of Conduct","/vault/gov-003","",""
"2.5.4","GOV-004 Dispute Resolution","/vault/gov-004","",""
"2.5.5","GOV-005 Voting Mechanics","/vault/gov-005","",""
"2.5.6","GOV-006 Mission Charter","/vault/gov-006","",""
"2.6","Academia","/academia","",""
"2.6.1","Advisory Board","/advisory","","Genesis Council recruiting"
"2.7","ISO Collaborators","/iso-collaborators","","KA§§A detail page needs better color balance... page divide bar or something... maybe quick links ot recent posts"
"2.8","Products","/products","","KA§§A detail page needs better color balance... page divide bar or something... maybe quick links ot recent posts"
"2.9","Bounty Board","/bountyboard","","KA§§A detail page needs better color balance... page divide bar or something... maybe quick links ot recent posts"
"2.10","Hiring","/hiring","","KA§§A detail page needs better color balance... page divide bar or something... maybe quick links ot recent posts"
"2.11","Services","/services","","KA§§A detail page. needs better color balance... page divide bar or something... maybe quick links ot recent posts"
"2.12","Connect","/connect","rename","KA§§A detail page..."
"3.1","Kingdoms (landing)","/","",""
"3.2","SigArena","/sig-arena","",""
"3.3","Refinery","/refinery","",""
"3.4","Wave Registry","/wave-registry","",""
"3.5","Switchboard","/switchboard","",""
"—","Join / Intake","/join","404","primary collab funnel — B2"
"—","Entry","/entry","","agent registration"
"—","Help Wanted","/helpwanted","",""
"—","Sitemap","/sitemap","",""






maybe create own section of products and tools!